YEAR,302
QUARTER,296
MONTH,297
DAY_OF_MONTH,300
DAY_OF_WEEK,285
DISTANCE,305
DISTANCE_GROUP,289
UNIQUE_CARRIER_UA,202
UNIQUE_CARRIER_WN,1
UNIQUE_CARRIER_DL,279
UNIQUE_CARRIER_YX,1
UNIQUE_CARRIER_AA,276
UNIQUE_CARRIER_YV,197
UNIQUE_CARRIER_B6,9
UNIQUE_CARRIER_AX,119
UNIQUE_CARRIER_AS,107
UNIQUE_CARRIER_EV,255
UNIQUE_CARRIER_OO,208
UNIQUE_CARRIER_HA,68
UNIQUE_CARRIER_NK,250
UNIQUE_CARRIER_G4,1
UNIQUE_CARRIER_ZW,1
UNIQUE_CARRIER_CP,224
UNIQUE_CARRIER_F9,1
UNIQUE_CARRIER_OH,239
UNIQUE_CARRIER_QX,230
UNIQUE_CARRIER_9E,271
UNIQUE_CARRIER_MQ,216
UNIQUE_CARRIER_G7,275
UNIQUE_CARRIER_PT,240
UNIQUE_CARRIER_C5,251
UNIQUE_CARRIER_VX,23
UNIQUE_CARRIER_9K,1
UNIQUE_CARRIER_KS,22
UNIQUE_CARRIER_EM,1
ORIGIN_SFO,203
ORIGIN_MCO,1
ORIGIN_PHX,66
ORIGIN_DEN,295
ORIGIN_MSP,65
ORIGIN_JFK,123
ORIGIN_ORD,1
ORIGIN_RSW,1
ORIGIN_PWM,16
ORIGIN_DTW,54
ORIGIN_ATL,39
ORIGIN_SJC,199
ORIGIN_ELP,280
ORIGIN_DFW,1
ORIGIN_LAX,187
ORIGIN_BOS,113
ORIGIN_RIC,103
ORIGIN_FLL,244
ORIGIN_EWR,1
ORIGIN_ITO,243
ORIGIN_ROC,157
ORIGIN_SLC,267
ORIGIN_IAH,185
ORIGIN_BGR,1
ORIGIN_PIE,1
ORIGIN_TPA,210
ORIGIN_MIA,294
ORIGIN_MCI,236
ORIGIN_OAK,177
ORIGIN_ONT,178
ORIGIN_PHL,1
ORIGIN_RAP,1
ORIGIN_MEM,1
ORIGIN_SBP,1
ORIGIN_DAL,1
ORIGIN_BHM,1
ORIGIN_IND,1
ORIGIN_LGA,72
ORIGIN_OMA,258
ORIGIN_TUL,1
ORIGIN_PDX,1
ORIGIN_GRR,1
ORIGIN_BWI,281
ORIGIN_RDU,56
ORIGIN_MFE,1
ORIGIN_SEA,136
ORIGIN_BNA,172
ORIGIN_JAX,1
ORIGIN_MGM,256
ORIGIN_ABQ,1
ORIGIN_CHO,2
ORIGIN_SAV,247
ORIGIN_SGF,1
ORIGIN_PVD,1
ORIGIN_LAS,59
ORIGIN_TLH,1
ORIGIN_ALB,252
ORIGIN_SAN,58
ORIGIN_OGG,1
ORIGIN_CVG,257
ORIGIN_TYS,1
ORIGIN_DCA,282
ORIGIN_SAT,141
ORIGIN_LIH,175
ORIGIN_GJT,1
ORIGIN_PBI,155
ORIGIN_CWA,156
ORIGIN_RNO,1
ORIGIN_EUG,120
ORIGIN_MDW,1
ORIGIN_CLT,1
ORIGIN_SMF,1
ORIGIN_MSY,60
ORIGIN_GRK,238
ORIGIN_BDL,121
ORIGIN_AVL,1
ORIGIN_IAD,288
ORIGIN_DSM,1
ORIGIN_SNA,14
ORIGIN_CMH,259
ORIGIN_JNU,50
ORIGIN_ORF,6
ORIGIN_BTV,1
ORIGIN_HNL,67
ORIGIN_MYR,1
ORIGIN_HRL,1
ORIGIN_GEG,1
ORIGIN_BUR,1
ORIGIN_STL,1
ORIGIN_PIT,227
ORIGIN_CAK,170
ORIGIN_CLE,1
ORIGIN_AUS,152
ORIGIN_SBA,1
ORIGIN_SDF,1
ORIGIN_HSV,241
ORIGIN_EYW,1
ORIGIN_VPS,249
ORIGIN_OME,188
ORIGIN_JAN,306
ORIGIN_COS,212
ORIGIN_BFL,180
ORIGIN_ERI,1
ORIGIN_LGB,266
ORIGIN_ANC,1
ORIGIN_XNA,116
ORIGIN_CAE,1
ORIGIN_DAY,1
ORIGIN_FAI,1
ORIGIN_PNS,1
ORIGIN_BOI,303
ORIGIN_OKC,1
ORIGIN_MSN,194
ORIGIN_HOU,1
ORIGIN_PIA,115
ORIGIN_MRY,1
ORIGIN_CHA,166
ORIGIN_SPN,1
ORIGIN_TTN,1
ORIGIN_BIS,245
ORIGIN_GSO,183
